City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,283.61,85,79,1.79,NZ,1715308316
1,kudahuvadhoo,2.6708,72.8944,302.53,76,59,5.02,MV,1715308361
2,auki,-8.7676,160.7034,300.36,88,100,1.42,SB,1715308362
3,thompson,55.7435,-97.8558,283.24,93,75,2.06,CA,1715308282
4,invercargill,-46.4,168.35,282.6,79,100,4.47,NZ,1715308328
5,isafjordur,66.0755,-23.124,274.86,83,98,1.23,IS,1715308324
6,ulsteinvik,62.3432,5.8487,279.12,83,88,1.79,NO,1715308366
7,west island,-12.1568,96.8225,301.14,69,100,8.75,CC,1715308355
8,san patricio,28.017,-97.5169,301.39,82,0,4.31,US,1715308368
9,adamstown,-25.066,-130.1015,295.53,78,86,4.66,PN,1715308324
10,grytviken,-54.2811,-36.5092,273.3,89,100,1.53,GS,1715308326
11,ryotsu-minato,38.0833,138.4333,290.61,43,51,2.96,JP,1715308373
12,tolanaro,-25.0319,46.9987,297.19,73,20,8.23,MG,1715308345
13,hamilton,39.1834,-84.5333,289.26,92,40,4.63,US,1715308081
14,barnard castle,54.5415,-1.919,284.57,89,100,1.1,GB,1715308379
15,bengkulu,-3.8004,102.2655,303.07,66,43,1.44,ID,1715308382
16,tiksi,71.6872,128.8694,271.15,90,100,2.7,RU,1715308326
17,tadine,-21.55,167.8833,296.4,64,65,7.4,NC,1715308388
18,copiapo,-27.3667,-70.3333,284.98,78,100,1.17,CL,1715308371
19,edinburgh of the seven seas,-37.0676,-12.3116,286.36,60,100,4.77,SH,1715308347
20,port-aux-francais,-49.35,70.2167,279.85,91,100,16.89,TF,1715308325
21,poronaysk,49.2167,143.1167,283.42,60,93,2.67,RU,1715308396
22,naze,28.3667,129.4833,295.66,52,100,4.36,JP,1715308398
23,bredasdorp,-34.5322,20.0403,283.36,82,0,2.32,ZA,1715308335
24,tovarkovo,54.6762,35.9386,275.39,66,98,4.15,RU,1715308403
25,crane,31.3974,-102.3501,296.91,49,12,11.48,US,1715308405
26,remontnoye,46.5614,43.6501,281.29,37,97,3.96,RU,1715308407
27,hasaki,35.7333,140.8333,296.09,35,0,6.51,JP,1715308409
28,colonia,50.9333,6.95,284.36,87,0,0.51,DE,1715308411
29,callao,-12.0667,-77.15,293.55,82,75,4.12,PE,1715308350
30,klyuchi,52.2667,79.1667,292.96,48,100,4.94,RU,1715308365
31,puerto ayora,-0.7393,-90.3518,296.23,98,60,2.28,EC,1715308339
32,bikenibeu village,1.3673,173.1241,302.13,84,40,2.57,KI,1715308334
33,sosua,19.7667,-70.5167,299.14,88,75,0.0,DO,1715308420
34,midvagur,62.0511,-7.1939,281.61,100,100,4.12,FO,1715308423
35,utrik,11.2278,169.8474,300.44,82,79,8.88,MH,1715308425
36,coracora,-15.0333,-73.7833,285.62,57,55,1.79,PE,1715308426
37,tomatlan,19.9333,-105.25,293.92,91,5,1.11,MX,1715308427
38,novodvinsk,64.4165,40.8122,271.01,59,99,4.49,RU,1715308428
39,hawaiian paradise park,19.5933,-154.9731,298.88,83,75,4.63,US,1715308429
40,albany,42.6001,-73.9662,286.8,62,100,1.83,US,1715308062
41,iqaluit,63.7506,-68.5145,271.0,80,100,4.12,CA,1715308336
42,bethel,41.3712,-73.414,288.72,75,99,0.45,US,1715308330
43,marco island,25.9363,-81.7157,300.15,90,0,2.06,US,1715308433
44,blackmans bay,-43.0167,147.3167,287.44,91,96,0.45,AU,1715308334
45,bhimunipatnam,17.8833,83.4333,301.88,69,42,4.52,IN,1715308436
46,vorgashor,67.5833,63.95,270.82,74,100,8.62,RU,1715308329
47,melfi,40.9965,15.6514,286.2,83,87,2.32,IT,1715308438
48,kataba,13.9833,44.3833,291.36,70,79,1.74,YE,1715308439
49,rongelap,11.1635,166.8941,300.5,80,51,8.49,MH,1715308342
50,jhajjar,28.6063,76.6565,303.21,31,2,5.04,IN,1715308440
51,suntar,62.1444,117.6319,275.74,47,100,2.57,RU,1715308441
52,howard springs,-12.497,131.047,306.38,66,5,4.7,AU,1715308365
53,bilibino,68.0546,166.4372,273.54,87,97,1.08,RU,1715308336
54,tongchuanshi,35.0806,109.0897,297.05,50,76,3.3,CN,1715308445
55,haapsalu,58.9431,23.5414,281.43,88,100,2.73,EE,1715308156
56,midelt,32.6852,-4.7451,291.76,37,81,0.73,MA,1715308448
57,whitehorse,60.7161,-135.0538,283.04,58,75,8.75,CA,1715308333
58,mesquite,32.7668,-96.5992,296.12,74,75,2.06,US,1715308327
59,alto araguaia,-17.3147,-53.2153,292.52,61,4,1.99,BR,1715308452
60,villa gesell,-37.2639,-56.973,279.85,63,100,4.65,AR,1715308453
61,smithers,54.7804,-127.1743,295.33,30,20,4.12,CA,1715308454
62,rehoboth,-23.3167,17.0833,292.04,43,14,1.38,NA,1715308456
63,akureyri,65.6835,-18.0878,276.11,70,0,2.06,IS,1715308393
64,turtas,58.9417,69.1325,274.66,54,2,3.43,RU,1715308458
65,villa de arista,22.65,-100.8333,306.6,24,41,8.55,MX,1715308461
66,woolgoolga,-30.1106,153.2007,294.08,54,62,3.61,AU,1715308462
67,sao vicente,-23.9631,-46.3919,299.25,26,68,1.9,BR,1715308185
68,karratha,-20.7377,116.8463,301.42,26,100,8.02,AU,1715308358
69,semirom,31.4167,51.5667,279.84,41,0,1.63,IR,1715308466
70,saint-joseph,-21.3667,55.6167,295.36,75,50,6.39,RE,1715308467
71,ekuvukeni,-28.4675,30.1551,286.57,43,0,1.42,ZA,1715308469
72,saldanha,-33.0117,17.9442,284.18,91,26,5.99,ZA,1715308470
73,gisborne,-38.6533,178.0042,284.56,74,100,9.87,NZ,1715308471
74,vernon,50.2581,-119.2691,297.89,23,10,1.54,CA,1715308473
75,fontanelas,38.8472,-9.4372,291.57,83,87,2.25,PT,1715308474
76,marka,1.7159,44.7717,298.38,91,17,5.06,SO,1715308475
77,preobrazheniye,42.9019,133.9064,287.45,60,98,1.87,RU,1715308477
78,cianorte,-23.6633,-52.605,294.67,63,12,1.03,BR,1715308478
79,betio village,1.358,172.9211,302.17,75,100,2.18,KI,1715308479
80,gebeit,21.0667,36.3167,296.29,32,7,2.63,SD,1715308355
81,salym,60.0625,71.4789,278.35,59,23,5.53,RU,1715308339
82,kandalaksha,67.162,32.4123,269.82,83,11,2.91,RU,1715308483
83,vila franca do campo,37.7167,-25.4333,288.38,88,14,1.67,PT,1715308484
84,nyurba,63.2842,118.3319,274.14,43,100,4.0,RU,1715308399
85,talnakh,69.4865,88.3972,268.09,78,5,1.3,RU,1715308399
86,fale old settlement,-9.3852,-171.2468,302.42,71,100,1.58,TK,1715308488
87,kadiri,14.1167,78.1667,303.17,54,19,2.7,IN,1715308490
88,yellowknife,62.456,-114.3525,287.44,33,20,5.14,CA,1715308487
89,uzgen,40.7699,73.3007,292.5,64,41,1.93,KG,1715308492
90,puerto natales,-51.7236,-72.4875,271.16,95,53,1.49,CL,1715308494
91,puerto baquerizo moreno,-0.9,-89.6,296.28,85,61,4.04,EC,1715308208
92,hammond,41.5834,-87.5,284.81,95,100,4.63,US,1715308488
93,wailua homesteads,22.0669,-159.378,298.59,80,0,4.12,US,1715308336
94,tres arroyos,-38.3739,-60.2798,280.04,64,53,4.35,AR,1715308387
95,iskateley,67.6803,53.1512,271.49,95,100,11.62,RU,1715308500
96,bucaramanga,7.1254,-73.1198,294.88,94,40,0.0,CO,1715308340
97,lubz,53.4626,12.0292,284.31,91,100,1.21,DE,1715308502
98,severnoye,56.3491,78.3619,290.36,40,70,7.15,RU,1715308503
99,sultanah,24.4926,39.5857,300.4,19,0,0.0,SA,1715308396
100,klaksvik,62.2266,-6.589,281.66,98,100,7.07,FO,1715308371
101,san antonio de pale,-1.4014,5.6325,299.83,88,100,5.69,GQ,1715308506
102,pisco,-13.7,-76.2167,293.72,88,0,1.54,PE,1715308440
103,ribeira grande,38.5167,-28.7,290.8,92,25,3.58,PT,1715308508
104,sao joao do piaui,-8.3581,-42.2467,300.66,60,98,3.06,BR,1715308509
105,enewetak,11.3474,162.3373,300.74,75,100,8.52,MH,1715308510
106,stanley,54.868,-1.6985,284.14,93,0,1.54,GB,1715308510
107,dom pedrito,-30.9828,-54.6731,284.08,72,100,2.79,BR,1715308511
108,olonkinbyen,70.9221,-8.7187,270.98,76,25,8.47,SJ,1715308512
109,avarua,-21.2078,-159.775,301.18,83,75,5.14,CK,1715308513
110,batalha,-9.6778,-37.1247,295.7,84,39,2.81,BR,1715308514
111,kuta,-8.7233,115.1723,302.12,83,20,6.26,ID,1715308515
112,porto velho,-8.7619,-63.9039,303.18,70,0,1.03,BR,1715308491
113,queenstown,-31.8976,26.8753,290.08,43,31,2.9,ZA,1715308518
114,iwanai,42.9744,140.5089,287.14,57,62,3.14,JP,1715308519
115,rouyn-noranda,48.2398,-79.0288,281.2,66,75,0.0,CA,1715308461
116,kaiapoi,-43.3783,172.6401,287.43,65,20,8.75,NZ,1715308522
